,ResidencePlace,respop72017
0,ADJUNTAS,17971
1,AGUADA,38118
2,AGUADILLA,53164
3,AGUAS BUENAS,25850
4,AIBONITO,23108
5,ANASCO,27059
6,ARECIBO,86066
7,ARROYO,17881
8,BARCELONETA,24240
9,BARRANQUITAS,28511
10,BAYAMON,179565
11,CABO ROJO,48824
12,CAGUAS,129604
13,CAMUY,31732
14,CANOVANAS,45823
15,CAROLINA,154489
16,CATANO,24374
17,CAYEY,44027
18,CEIBA,11602
19,CIALES,16627
20,CIDRA,39813
21,COAMO,39071
22,COMERIO,19343
23,COROZAL,33694
24,CULEBRA,1769
25,DORADO,37026
26,FAJARDO,31324
27,FLORIDA,11775
28,GUANICA,16363
29,GUAYAMA,41281
30,GUAYANILLA,18611
31,GUAYNABO,87328
32,GURABO,47109
33,HATILLO,40111
34,HORMIGUEROS,16032
35,HUMACAO,52771
36,ISABELA,41949
37,JAYUYA,14625
38,JUANA DIAZ,46400
39,JUNCOS,39101
40,LAJAS,22929
41,LARES,25772
42,LAS MARIAS,8402
43,LAS PIEDRAS,37659
44,LOIZA,25926
45,LUQUILLO,18311
46,MANATI,39103
47,MARICAO,5665
48,MAUNABO,10808
49,MAYAGUEZ,75525
50,MOCA,36328
51,MOROVIS,31092
52,NAGUABO,26177
53,NARANJITO,28306
54,OROCOVIS,21109
55,PATILLAS,17004
56,PENUELAS,20447
57,PONCE,140859
58,QUEBRADILLAS,23734
59,RINCON,14128
60,RIO GRANDE,50128
61,SABANA GRANDE,22690
62,SALINAS,28216
63,SAN GERMAN,31654
64,SAN JUAN,337288
65,SAN LORENZO,37379
66,SAN SEBASTIAN,37306
67,SANTA ISABEL,21863
68,TOA ALTA,73217
69,TOA BAJA,78092
70,TRUJILLO ALTO,66675
71,UTUADO,28791
72,VEGA ALTA,37566
73,VEGA BAJA,52436
74,VIEQUES,8669
75,VILLALBA,22528
76,YABUCOA,33629
77,YAUCO,35635
