,ResidencePlace,ResidenceZone,Deaths
0,ADJUNTAS,RURAL,63
1,ADJUNTAS,URBANO,50
2,AGUADA,RURAL,165
3,AGUADA,URBANO,37
4,AGUADILLA,RURAL,320
5,AGUADILLA,URBANO,97
6,AGUAS BUENAS,RURAL,137
7,AGUAS BUENAS,URBANO,24
8,AIBONITO,RURAL,95
9,AIBONITO,URBANO,67
10,ANASCO,RURAL,112
11,ANASCO,URBANO,60
12,ARECIBO,RURAL,437
13,ARECIBO,URBANO,167
14,ARROYO,RURAL,54
15,ARROYO,URBANO,59
16,BARCELONETA,RURAL,105
17,BARCELONETA,URBANO,45
18,BARRANQUITAS,RURAL,128
19,BARRANQUITAS,URBANO,10
20,BAYAMON,RURAL,283
21,BAYAMON,URBANO,1174
22,CABO ROJO,RURAL,257
23,CABO ROJO,URBANO,96
24,CAGUAS,RURAL,252
25,CAGUAS,URBANO,641
26,CAMUY,RURAL,180
27,CAMUY,URBANO,32
28,CANOVANAS,RURAL,120
29,CANOVANAS,URBANO,105
30,CAROLINA,RURAL,144
31,CAROLINA,URBANO,866
32,CATANO,RURAL,11
33,CATANO,URBANO,150
34,CAYEY,RURAL,113
35,CAYEY,URBANO,145
36,CEIBA,RURAL,41
37,CEIBA,URBANO,35
38,CIALES,RURAL,82
39,CIALES,URBANO,19
40,CIDRA,RURAL,166
41,CIDRA,URBANO,59
42,COAMO,RURAL,140
43,COAMO,URBANO,95
44,COMERIO,RURAL,106
45,COMERIO,URBANO,27
46,COROZAL,RURAL,160
47,COROZAL,URBANO,50
48,CULEBRA,RURAL,5
49,CULEBRA,URBANO,4
50,DORADO,RURAL,114
51,DORADO,URBANO,86
52,FAJARDO,RURAL,80
53,FAJARDO,URBANO,166
54,FLORIDA,RURAL,59
55,FLORIDA,URBANO,13
56,GUANICA,RURAL,111
57,GUANICA,URBANO,18
58,GUAYAMA,RURAL,87
59,GUAYAMA,URBANO,135
60,GUAYANILLA,RURAL,95
61,GUAYANILLA,URBANO,37
62,GUAYNABO,RURAL,168
63,GUAYNABO,URBANO,422
64,GURABO,RURAL,122
65,GURABO,URBANO,88
66,HATILLO,RURAL,214
67,HATILLO,URBANO,23
68,HORMIGUEROS,RURAL,81
69,HORMIGUEROS,URBANO,45
70,HUMACAO,RURAL,187
71,HUMACAO,URBANO,167
72,ISABELA,RURAL,220
73,ISABELA,URBANO,82
74,JAYUYA,RURAL,61
75,JAYUYA,URBANO,34
76,JUANA DIAZ,RURAL,160
77,JUANA DIAZ,URBANO,87
78,JUNCOS,RURAL,140
79,JUNCOS,URBANO,85
80,LAJAS,RURAL,129
81,LAJAS,URBANO,39
82,LARES,RURAL,162
83,LARES,URBANO,29
84,LAS MARIAS,RURAL,50
85,LAS MARIAS,URBANO,6
86,LAS PIEDRAS,RURAL,174
87,LAS PIEDRAS,URBANO,47
88,LOIZA,RURAL,87
89,LOIZA,URBANO,56
90,LUQUILLO,RURAL,60
91,LUQUILLO,URBANO,48
92,MANATI,RURAL,140
93,MANATI,URBANO,121
94,MARICAO,RURAL,30
95,MARICAO,URBANO,1
96,MAUNABO,RURAL,54
97,MAUNABO,URBANO,19
98,MAYAGUEZ,RURAL,242
99,MAYAGUEZ,URBANO,335
100,MOCA,RURAL,165
101,MOCA,URBANO,46
102,MOROVIS,RURAL,133
103,MOROVIS,URBANO,33
104,NAGUABO,RURAL,93
105,NAGUABO,URBANO,54
106,NARANJITO,RURAL,161
107,NARANJITO,URBANO,11
108,OROCOVIS,RURAL,103
109,OROCOVIS,URBANO,11
110,PATILLAS,RURAL,75
111,PATILLAS,URBANO,39
112,PENUELAS,RURAL,84
113,PENUELAS,URBANO,53
114,PONCE,RURAL,142
115,PONCE,URBANO,919
116,QUEBRADILLAS,RURAL,133
117,QUEBRADILLAS,URBANO,20
118,RINCON,RURAL,85
119,RINCON,URBANO,23
120,RIO GRANDE,RURAL,156
121,RIO GRANDE,URBANO,132
122,SABANA GRANDE,RURAL,97
123,SABANA GRANDE,URBANO,62
124,SALINAS,RURAL,96
125,SALINAS,URBANO,46
126,SAN GERMAN,RURAL,156
127,SAN GERMAN,URBANO,112
128,SAN JUAN,RURAL,217
129,SAN JUAN,URBANO,2531
130,SAN LORENZO,RURAL,164
131,SAN LORENZO,URBANO,67
132,SAN SEBASTIAN,RURAL,242
133,SAN SEBASTIAN,URBANO,46
134,SANTA ISABEL,RURAL,79
135,SANTA ISABEL,URBANO,45
136,TOA ALTA,RURAL,188
137,TOA ALTA,URBANO,144
138,TOA BAJA,RURAL,222
139,TOA BAJA,URBANO,287
140,TRUJILLO ALTO,RURAL,145
141,TRUJILLO ALTO,URBANO,225
142,UTUADO,RURAL,123
143,UTUADO,URBANO,66
144,VEGA ALTA,RURAL,122
145,VEGA ALTA,URBANO,73
146,VEGA BAJA,RURAL,230
147,VEGA BAJA,URBANO,139
148,VIEQUES,RURAL,55
149,VIEQUES,URBANO,29
150,VILLALBA,RURAL,108
151,VILLALBA,URBANO,32
152,YABUCOA,RURAL,140
153,YABUCOA,URBANO,50
154,YAUCO,RURAL,187
155,YAUCO,URBANO,94
