,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
110,PATILLAS,RURAL,75,17004,4.4107268877911086
130,SAN LORENZO,RURAL,164,37379,4.387490302041253
146,VEGA BAJA,RURAL,230,52436,4.386299488900756
16,BARCELONETA,RURAL,105,24240,4.331683168316832
2,AGUADA,RURAL,165,38118,4.328663623484967
102,MOROVIS,RURAL,133,31092,4.277627685578284
122,SABANA GRANDE,RURAL,97,22690,4.275011018069634
142,UTUADO,RURAL,123,28791,4.272168385953944
74,JAYUYA,RURAL,61,14625,4.17094017094017
40,CIDRA,RURAL,166,39813,4.16949237686183
152,YABUCOA,RURAL,140,33629,4.16307353772042
10,ANASCO,RURAL,112,27059,4.139103440629735
8,AIBONITO,RURAL,95,23108,4.111130344469448
112,PENUELAS,RURAL,84,20447,4.108182129407737
134,SANTA ISABEL,RURAL,79,21863,3.6134107853451036
42,COAMO,RURAL,140,39071,3.5832202912646207
