,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
71,HUMACAO,URBANO,167,52771,3.1646169297530844
93,MANATI,URBANO,121,39103,3.0943917346495153
37,CEIBA,URBANO,35,11602,3.016721254956042
9,AIBONITO,URBANO,67,23108,2.8994287692574
69,HORMIGUEROS,URBANO,45,16032,2.80688622754491
1,ADJUNTAS,URBANO,50,17971,2.7822603082744424
123,SABANA GRANDE,URBANO,62,22690,2.732481269281622
147,VEGA BAJA,URBANO,139,52436,2.6508505606835
155,YAUCO,URBANO,94,35635,2.6378560404097096
121,RIO GRANDE,URBANO,132,50128,2.6332588573252473
91,LUQUILLO,URBANO,48,18311,2.621375129703457
113,PENUELAS,URBANO,53,20447,2.592067295935834
43,COAMO,URBANO,95,39071,2.4314709119295643
75,JAYUYA,URBANO,34,14625,2.3247863247863245
51,DORADO,URBANO,86,37026,2.322692162264355
